id,popularity,poster_path,release_date,title
13,64.701,/saHP97rTPS5eLmrLQEcANmKrsFl.jpg,6/23/1994,Forrest Gump
761053,46.165,/fYtHxTxlhzD4QWfEbrC1rypysSD.jpg,11/19/2020,Gabriel's Inferno: Part III
769,34.785,/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg,9/12/1990,GoodFellas
311,29.768,/i0enkzsL5dPeneWnjl1fCWm6L7k.jpg,5/23/1984,Once Upon a Time in America
539,42.481,/nXjkXxpsE7ZGRCVd6PKkrf9tgsL.jpg,6/22/1960,Psycho
550,85.88,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,10/15/1999,Fight Club
510,28.102,/3jcbDmRFiQ83drXNOvRDeKHxS0C.jpg,5/18/1975,One Flew Over the Cuckoo's Nest
704264,58.434,/9NBBkdxH0TjQEBSN2AzeE1sgsF9.jpg,11/21/2019,Primal: Tales of Savagery
324857,107.189,/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,12/6/2018,Spider-Man: Into the Spider-Verse
1891,24.886,/2l05cFWJacyIsTpsqSgH0wQXe4V.jpg,5/20/1980,The Empire Strikes Back
762975,251.392,/4JyNWkryifWbWXJyxcWh3pVya6N.jpg,7/29/2022,Purple Hearts
120,292.417,/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,12/18/2001,The Lord of the Rings: The Fellowship of the Ring
20334,9.984,/dZ1aEzGYRiqJwPfjS6VL7wUkHmF.jpg,1/12/1940,The Shop Around the Corner
599,11.712,/sC4Dpmn87oz9AuxZ15Lmip0Ftgr.jpg,8/10/1950,Sunset Boulevard
423,34.661,/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg,9/17/2002,The Pianist
157336,164.423,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,11/5/2014,Interstellar
244786,58.119,/oPxnRhyAIzJKGUEdSiwTJQBa3NM.jpg,10/10/2014,Whiplash
441130,22.251,/ehAKuE48okTuonq6TpsNQj8vFTC.jpg,10/26/2020,Wolfwalkers
121,262.645,/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,12/18/2002,The Lord of the Rings: The Two Towers
73,38.065,/c2gsmSQ2Cqv8zosqKOCwRS0GFBS.jpg,7/1/1998,American History X
361743,2060.599,/62HCnUTziyWcpDaBO2i1DX17ljH.jpg,5/24/2022,Top Gun: Maverick
567,25.457,/qitnZcLP7C9DLRuPpmvZ7GiEjJN.jpg,8/1/1954,Rear Window
27205,114.735,/8IB2e4r4oVhHnANbnm7O3Tj6tF8.jpg,7/15/2010,Inception
901,13.074,/bXNvzjULc9jrOVhGfjcc64uKZmZ.jpg,2/1/1931,City Lights
807,53.35,/69Sns8WoET6CfaYlIkHbla4l7nC.jpg,9/22/1995,Se7en
914,16.53,/bTW7RvjX3OkNMr3YcXVwW7aCBiF.jpg,10/15/1940,The Great Dictator
274,13.222,/rplLJ2hPcOQmkFhTqUte0MkEaO2.jpg,2/14/1991,The Silence of the Lambs
630566,27.774,/d0OdD1I8qAfETvE9Rp9Voq7R8LR.jpg,10/9/2020,Clouds
207,38.13,/ai40gM7SUaGA6fthvsd87o8IQq4.jpg,6/2/1989,Dead Poets Society
101,49.535,/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg,9/14/1994,Leon: The Professional
3082,15.638,/9xeglIbChLIe0P4fTQNAdlG2v0C.jpg,2/5/1936,Modern Times
527641,79.606,/kreTuJBkUjVWePRfhHZuYfhNE1T.jpg,3/14/2019,Five Feet Apart
447362,83.499,/bP7u19opmHXYeTCUwGjlLldmUMc.jpg,11/27/2020,Life in a Year
105,60.658,/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg,7/3/1985,Back to the Future
556574,13.814,/h1B7tW0t399VDjAcWJh8m87469b.jpg,7/3/2020,Hamilton
618344,45.716,/c01Y4suApJ1Wic2xLmaq1QYcfoZ.jpg,5/5/2020,Justice League Dark: Apokolips War
975,15.608,/l2IY0gOHHmCWM90LjteFssxIV1G.jpg,10/25/1957,Paths of Glory
28,34.702,/fpM34wbSvkmR0wFQSmcAsZrTYvw.jpg,8/15/1979,Apocalypse Now
299534,204.559,/or06FN3Dka5tukK1e9sl16pB3iy.jpg,4/24/2019,Avengers: Endgame
537061,34.82,/8mRgpubxHqnqvENK4Bei30xMDvy.jpg,9/2/2019,Steven Universe: The Movie
